[11-11-22 15:12:40.756][info] Init chat system....
[11-11-22 15:12:40.756][info] Mode: multiplayer.
[11-11-22 15:12:40.756][info] Chat owner: EG.
[11-11-22 15:38:01.068][info] Got message from server: ChatMessage{chat=Local, author='SciFurr', text='got it'}.
[11-11-22 15:38:45.054][info] Got message from server: ChatMessage{chat=Local, author='yx', text='HEY!'}.
[11-11-22 15:38:46.100][info] Got message from server: ChatMessage{chat=Local, author='yx', text='OVER HERE!'}.
[11-11-22 15:38:46.359][info] Got message from server: ChatMessage{chat=Local, author='yx', text='HEY!'}.
[11-11-22 15:38:46.539][info] Got message from server: ChatMessage{chat=Local, author='yx', text='HEY!'}.
[11-11-22 15:41:05.663][info] Got message from server: ChatMessage{chat=Local, author='SciFurr', text='how do I sit?'}.
[11-11-22 15:41:15.198][info] Got message from server: ChatMessage{chat=Local, author='SciFurr', text='ty'}.
[11-11-22 15:41:22.205][info] Got message from server: ChatMessage{chat=Local, author='SciFurr', text='ah shit, runny nose'}.
[11-11-22 15:42:34.608][info] Got message from server: ChatMessage{chat=Local, author='SciFurr', text='got antiboitcs and disinfected if you need em'}.
[11-11-22 15:42:41.173][info] Got message from server: ChatMessage{chat=Local, author='SciFurr', text='alsso painkillers'}.
[11-11-22 15:43:31.571][info] Got message from server: ChatMessage{chat=Local, author='SciFurr', text='how the hell did we survive that lmao'}.
[11-11-22 15:43:45.843][info] Got message from server: ChatMessage{chat=Local, author='SciFurr', text='we're not dead just yet, so'}.
[11-11-22 15:44:04.305][info] Got message from server: ChatMessage{chat=Local, author='SciFurr', text='got half a bag of chips if anyone needs em'}.
[11-11-22 15:44:24.173][info] Got message from server: ChatMessage{chat=Local, author='SciFurr', text='here ya go'}.
[11-11-22 15:44:34.167][info] Got message from server: ChatMessage{chat=Local, author='SciFurr', text='dont need anything atm I think'}.
[11-11-22 15:45:08.581][info] Got message from server: ChatMessage{chat=Local, author='SciFurr', text='it cool if I put the first aid shit in the kit?'}.
[11-11-22 15:47:25.353][info] Got message from server: ChatMessage{chat=Local, author='SciFurr', text='ya, started in a clinic'}.
[11-11-22 15:47:40.785][info] Got message from server: ChatMessage{chat=Local, author='SciFurr', text='I have aa mask'}.
[11-11-22 15:49:38.745][info] Got message from server: ChatMessage{chat=Local, author='SciFurr', text='aw fuck, infected lmao'}.
[11-11-22 15:49:43.235][info] Got message from server: ChatMessage{chat=Local, author='SciFurr', text='gonna pop some antibiotics'}.
[11-11-22 15:50:30.479][info] Got message from server: ChatMessage{chat=Local, author='SciFurr', text='got sosme adhesive tape btw'}.
[11-11-22 15:51:07.324][info] Got message from server: ChatMessage{chat=Local, author='SciFurr', text='lmao'}.
[11-11-22 15:51:12.915][info] Got message from server: ChatMessage{chat=Local, author='SciFurr', text='is there a bathroom back there?'}.
[11-11-22 15:51:50.793][info] Got message from server: ChatMessage{chat=Local, author='SciFurr', text='so long as it's away from our water'}.
