[17-11-22 00:39:56.361][info] Init chat system....
[17-11-22 00:39:56.361][info] Mode: multiplayer.
[17-11-22 00:39:56.361][info] Chat owner: EG.
[17-11-22 00:44:13.483][info] Got message from server: ChatMessage{chat=Local, author='Soulbringer', text='HEY YOU!'}.
[17-11-22 00:59:21.015][info] Got message from server: ChatMessage{chat=Local, author='Soulbringer', text='HEY YOU!'}.
[17-11-22 00:59:23.657][info] Got message from server: ChatMessage{chat=Local, author='Soulbringer', text='OVER HERE!'}.
[17-11-22 00:59:26.038][info] Got message from server: ChatMessage{chat=Local, author='Soulbringer', text='OVER HERE!'}.
[17-11-22 00:59:28.557][info] Got message from server: ChatMessage{chat=Local, author='Soulbringer', text='HEY YOU!'}.
[17-11-22 01:53:43.998][info] Got message from server: ChatMessage{chat=Local, author='yx', text='hey'}.
[17-11-22 01:53:46.779][info] Got message from server: ChatMessage{chat=Local, author='yx', text='ows it going'}.
[17-11-22 02:17:40.374][info] Got message from server: ChatMessage{chat=Local, author='yx', text='OVER HERE!'}.
[17-11-22 02:17:52.634][info] Got message from server: ChatMessage{chat=Local, author='Soulbringer', text='HEY!'}.
[17-11-22 04:04:53.548][info] Got message from server: ChatMessage{chat=Server, author='Server', text='The Jukebox is dead.'}.
[17-11-22 05:16:38.664][info] Got message from server: ChatMessage{chat=Local, author='yx', text='psst'}.
[17-11-22 05:16:40.421][info] Got message from server: ChatMessage{chat=Local, author='yx', text='pssst!'}.
