[28-11-22 01:59:58.739] reason = roomSpotted x,y,z = 9880,12644,0 room = livingroom
reason = roomSpotted x,y,z = 9883,12648,0 room = livingroom
reason = roomSpotted x,y,z = 9885,12649,0 room = kitchen
reason = addIndoorZombiesToChunk x,y,z = 9881,12650,0 room = livingroom
reason = addIndoorZombiesToChunk x,y,z = 9886,12650,0 room = kitchen
reason = addIndoorZombiesToChunk x,y,z = 9879,12646,0 room = livingroom
reason = createEatingZombies x,y,z = 9974,12678,0
reason = createEatingZombies x,y,z = 9975,12678,0
reason = createEatingZombies x,y,z = 9891,12759,0
reason = createEatingZombies x,y,z = 9892,12759,0
reason = roomSpotted x,y,z = 9995,12660,0 room = hall
reason = roomSpotted x,y,z = 10001,12641,0 room = hall
reason = roomSpotted x,y,z = 10000,12643,0 room = hall
reason = roomSpotted x,y,z = 9999,12665,0 room = hall
reason = roomSpotted x,y,z = 9995,12670,0 room = hall
reason = roomSpotted x,y,z = 9991,12669,0 room = hall
reason = roomSpotted x,y,z = 9997,12671,0 room = hall
reason = roomSpotted x,y,z = 10003,12667,0 room = office.
[28-11-22 02:00:02.313] reason = roomSpotted x,y,z = 10006,12667,0 room = office
reason = roomSpotted x,y,z = 10005,12665,0 room = office
reason = roomSpotted x,y,z = 10010,12645,1 room = classroom2
reason = roomSpotted x,y,z = 10013,12645,1 room = classroom2
reason = roomSpotted x,y,z = 10013,12646,1 room = classroom2
reason = roomSpotted x,y,z = 10072,12653,0 room = livingroom
reason = roomSpotted x,y,z = 10068,12651,0 room = livingroom
reason = roomSpotted x,y,z = 10072,12656,0 room = livingroom
reason = roomSpotted x,y,z = 10065,12653,0 room = livingroom
reason = roomSpotted x,y,z = 10068,12656,0 room = livingroom
reason = roomSpotted x,y,z = 10069,12659,0 room = livingroom
reason = roomSpotted x,y,z = 10069,12656,0 room = livingroom
reason = roomSpotted x,y,z = 10069,12653,0 room = livingroom
reason = roomSpotted x,y,z = 10072,12655,0 room = livingroom
reason = roomSpotted x,y,z = 10069,12655,0 room = livingroom
reason = roomSpotted x,y,z = 10069,12652,0 room = livingroom
reason = roomSpotted x,y,z = 10065,12650,0 room = livingroom.
[28-11-22 02:00:02.314] reason = roomSpotted x,y,z = 10066,12651,0 room = livingroom
reason = roomSpotted x,y,z = 10067,12652,0 room = livingroom
reason = roomSpotted x,y,z = 10065,12651,0 room = livingroom
reason = roomSpotted x,y,z = 10071,12651,0 room = livingroom
reason = roomSpotted x,y,z = 10071,12650,0 room = livingroom
reason = roomSpotted x,y,z = 10072,12649,0 room = livingroom
reason = roomSpotted x,y,z = 10055,12651,0 room = livingroom
reason = roomSpotted x,y,z = 10056,12659,0 room = livingroom
reason = roomSpotted x,y,z = 10051,12656,0 room = livingroom
reason = roomSpotted x,y,z = 10056,12654,0 room = livingroom
reason = roomSpotted x,y,z = 10057,12656,0 room = livingroom
reason = roomSpotted x,y,z = 10060,12656,0 room = livingroom
reason = roomSpotted x,y,z = 10058,12656,0 room = livingroom
reason = roomSpotted x,y,z = 10056,12652,0 room = livingroom
reason = roomSpotted x,y,z = 10056,12651,0 room = livingroom
reason = roomSpotted x,y,z = 10055,12660,0 room = bathroom
reason = roomSpotted x,y,z = 10053,12649,0 room = livingroom.
[28-11-22 02:00:02.315] reason = roomSpotted x,y,z = 10052,12651,0 room = livingroom
reason = roomSpotted x,y,z = 10053,12648,0 room = livingroom
reason = roomSpotted x,y,z = 10054,12650,0 room = livingroom
reason = roomSpotted x,y,z = 10059,12659,0 room = livingroom
reason = roomSpotted x,y,z = 10058,12661,0 room = livingroom
reason = roomSpotted x,y,z = 10059,12660,0 room = livingroom
reason = roomSpotted x,y,z = 10057,12659,0 room = livingroom
reason = roomSpotted x,y,z = 10058,12658,0 room = livingroom
reason = roomSpotted x,y,z = 10068,12634,0 room = livingroom
reason = roomSpotted x,y,z = 10068,12636,0 room = livingroom
reason = roomSpotted x,y,z = 10069,12637,0 room = livingroom
reason = roomSpotted x,y,z = 10072,12639,0 room = livingroom
reason = roomSpotted x,y,z = 10068,12640,0 room = livingroom
reason = roomSpotted x,y,z = 10072,12636,0 room = livingroom
reason = roomSpotted x,y,z = 10071,12636,0 room = livingroom
reason = roomSpotted x,y,z = 10071,12637,0 room = livingroom
reason = roomSpotted x,y,z = 10073,12636,0 room = livingroom.
[28-11-22 02:00:02.318] reason = roomSpotted x,y,z = 10065,12636,0 room = livingroom
reason = roomSpotted x,y,z = 10071,12634,0 room = livingroom
reason = roomSpotted x,y,z = 10071,12635,0 room = livingroom
reason = roomSpotted x,y,z = 10071,12632,0 room = livingroom
reason = roomSpotted x,y,z = 10073,12633,0 room = livingroom
reason = roomSpotted x,y,z = 10066,12641,0 room = livingroom
reason = roomSpotted x,y,z = 10067,12641,0 room = livingroom
reason = roomSpotted x,y,z = 10066,12642,0 room = livingroom
reason = roomSpotted x,y,z = 10056,12638,0 room = livingroom
reason = roomSpotted x,y,z = 10054,12637,0 room = livingroom
reason = roomSpotted x,y,z = 10056,12635,0 room = livingroom
reason = roomSpotted x,y,z = 10056,12636,0 room = livingroom
reason = roomSpotted x,y,z = 10060,12639,0 room = livingroom
reason = roomSpotted x,y,z = 10052,12637,0 room = livingroom
reason = roomSpotted x,y,z = 10055,12634,0 room = livingroom
reason = roomSpotted x,y,z = 10059,12640,0 room = livingroom
reason = roomSpotted x,y,z = 10053,12637,0 room = livingroom.
[28-11-22 02:00:02.320] reason = roomSpotted x,y,z = 10051,12639,0 room = livingroom
reason = roomSpotted x,y,z = 10054,12640,0 room = livingroom
reason = roomSpotted x,y,z = 10059,12633,0 room = livingroom
reason = roomSpotted x,y,z = 10052,12644,0 room = livingroom
reason = roomSpotted x,y,z = 10053,12642,0 room = livingroom
reason = roomSpotted x,y,z = 10052,12642,0 room = livingroom
reason = roomSpotted x,y,z = 10054,12643,0 room = livingroom
reason = roomSpotted x,y,z = 10053,12645,0 room = livingroom
reason = roomSpotted x,y,z = 10113,12632,0 room = livingroom
reason = roomSpotted x,y,z = 10111,12633,0 room = livingroom
reason = roomSpotted x,y,z = 10111,12630,0 room = livingroom
reason = roomSpotted x,y,z = 10115,12630,0 room = livingroom
reason = roomSpotted x,y,z = 10113,12635,0 room = livingroom
reason = roomSpotted x,y,z = 10095,12631,0 room = livingroom
reason = roomSpotted x,y,z = 10099,12631,0 room = livingroom
reason = roomSpotted x,y,z = 10098,12631,0 room = livingroom
reason = roomSpotted x,y,z = 10096,12635,0 room = livingroom.
[28-11-22 02:00:02.324] reason = roomSpotted x,y,z = 10090,12631,0 room = bathroom
reason = roomSpotted x,y,z = 10092,12628,0 room = livingroom
reason = roomSpotted x,y,z = 10088,12628,0 room = livingroom
reason = roomSpotted x,y,z = 10089,12627,0 room = livingroom
reason = roomSpotted x,y,z = 10090,12629,0 room = livingroom
reason = roomSpotted x,y,z = 10100,12627,0 room = livingroom
reason = roomSpotted x,y,z = 10088,12633,0 room = livingroom
reason = roomSpotted x,y,z = 10091,12635,0 room = livingroom
reason = roomSpotted x,y,z = 10090,12635,0 room = livingroom
reason = roomSpotted x,y,z = 10056,12617,0 room = livingroom
reason = roomSpotted x,y,z = 10057,12622,0 room = livingroom
reason = roomSpotted x,y,z = 10053,12622,0 room = livingroom
reason = roomSpotted x,y,z = 10054,12620,0 room = livingroom
reason = roomSpotted x,y,z = 10054,12626,0 room = livingroom
reason = roomSpotted x,y,z = 10051,12626,0 room = livingroom
reason = roomSpotted x,y,z = 10110,12615,0 room = livingroom
reason = roomSpotted x,y,z = 10112,12616,0 room = livingroom.
[28-11-22 02:00:02.332] reason = roomSpotted x,y,z = 10109,12617,0 room = livingroom
reason = roomSpotted x,y,z = 10097,12614,0 room = livingroom
reason = roomSpotted x,y,z = 10095,12617,0 room = livingroom
reason = roomSpotted x,y,z = 10094,12619,0 room = livingroom
reason = roomSpotted x,y,z = 10090,12615,0 room = livingroom
reason = roomSpotted x,y,z = 10089,12614,0 room = livingroom
reason = roomSpotted x,y,z = 10090,12614,0 room = livingroom
reason = roomSpotted x,y,z = 10088,12615,0 room = livingroom
reason = roomSpotted x,y,z = 10089,12615,0 room = livingroom
reason = roomSpotted x,y,z = 10100,12614,0 room = livingroom
reason = roomSpotted x,y,z = 10102,12615,0 room = livingroom
reason = roomSpotted x,y,z = 10101,12614,0 room = livingroom
reason = roomSpotted x,y,z = 10070,12628,0 room = hall
reason = roomSpotted x,y,z = 10096,12624,0 room = hall
reason = roomSpotted x,y,z = 10075,12630,0 room = hall
reason = roomSpotted x,y,z = 10085,12634,0 room = hall
reason = roomSpotted x,y,z = 10063,12657,0 room = hall.
[28-11-22 02:00:02.333] reason = roomSpotted x,y,z = 10062,12616,0 room = hall
reason = roomSpotted x,y,z = 10063,12651,0 room = hall
reason = roomSpotted x,y,z = 10100,12624,0 room = hall
reason = roomSpotted x,y,z = 10084,12627,0 room = hall
reason = roomSpotted x,y,z = 10062,12622,0 room = hall
reason = roomSpotted x,y,z = 10087,12625,0 room = hall
reason = roomSpotted x,y,z = 10062,12618,0 room = hall
reason = roomSpotted x,y,z = 10074,12631,0 room = hall
reason = roomSpotted x,y,z = 10062,12634,0 room = hall
reason = roomSpotted x,y,z = 10084,12635,0 room = hall
reason = roomSpotted x,y,z = 10061,12624,0 room = hall
reason = roomSpotted x,y,z = 10078,12629,0 room = hall
reason = roomSpotted x,y,z = 10062,12649,0 room = hall
reason = roomSpotted x,y,z = 10083,12635,0 room = hall
reason = roomSpotted x,y,z = 10099,12623,0 room = hall
reason = roomSpotted x,y,z = 10062,12626,0 room = hall
reason = roomSpotted x,y,z = 10063,12645,0 room = hall
reason = roomSpotted x,y,z = 10087,12623,0 room = hall
reason = roomSpotted x,y,z = 10089,12623,0 room = hall.
[28-11-22 02:00:02.335] reason = roomSpotted x,y,z = 10061,12618,0 room = hall
reason = roomSpotted x,y,z = 10066,12629,0 room = hall
reason = roomSpotted x,y,z = 10062,12617,0 room = hall
reason = roomSpotted x,y,z = 10100,12623,0 room = hall
reason = roomSpotted x,y,z = 10079,12635,0 room = hall
reason = roomSpotted x,y,z = 10061,12631,0 room = hall
reason = roomSpotted x,y,z = 10087,12624,0 room = hall
reason = roomSpotted x,y,z = 10063,12639,0 room = hall
reason = roomSpotted x,y,z = 10063,12644,0 room = hall
reason = roomSpotted x,y,z = 10089,12625,0 room = hall
reason = roomSpotted x,y,z = 10092,12618,1 room = livingroom
reason = roomSpotted x,y,z = 10094,12614,1 room = livingroom
reason = roomSpotted x,y,z = 10094,12613,1 room = livingroom
reason = roomSpotted x,y,z = 10093,12615,1 room = livingroom
reason = roomSpotted x,y,z = 10093,12616,1 room = livingroom
reason = roomSpotted x,y,z = 10097,12615,1 room = livingroom
reason = roomSpotted x,y,z = 10093,12617,1 room = livingroom
reason = roomSpotted x,y,z = 10091,12614,1 room = livingroom.
[28-11-22 02:00:02.341] reason = roomSpotted x,y,z = 10088,12615,1 room = livingroom
reason = roomSpotted x,y,z = 10092,12616,1 room = livingroom
reason = roomSpotted x,y,z = 10092,12615,1 room = livingroom
reason = roomSpotted x,y,z = 10098,12616,1 room = livingroom
reason = roomSpotted x,y,z = 10100,12615,1 room = livingroom
reason = roomSpotted x,y,z = 10098,12615,1 room = livingroom
reason = roomSpotted x,y,z = 10102,12615,1 room = livingroom
reason = roomSpotted x,y,z = 10099,12614,1 room = livingroom
reason = roomSpotted x,y,z = 10090,12619,1 room = livingroom
reason = roomSpotted x,y,z = 10091,12619,1 room = livingroom
reason = roomSpotted x,y,z = 10092,12620,1 room = livingroom
reason = roomSpotted x,y,z = 10099,12621,1 room = livingroom
reason = roomSpotted x,y,z = 10100,12619,1 room = livingroom
reason = roomSpotted x,y,z = 10099,12619,1 room = livingroom
reason = roomSpotted x,y,z = 10101,12621,1 room = livingroom
reason = roomSpotted x,y,z = 10098,12619,1 room = livingroom
reason = roomSpotted x,y,z = 10081,12627,1 room = hall.
[28-11-22 02:00:02.341] reason = roomSpotted x,y,z = 10063,12619,1 room = hall
reason = roomSpotted x,y,z = 10070,12628,1 room = hall
reason = roomSpotted x,y,z = 10063,12650,1 room = hall
reason = roomSpotted x,y,z = 10099,12624,1 room = hall
reason = roomSpotted x,y,z = 10109,12624,1 room = hall
reason = roomSpotted x,y,z = 10063,12660,1 room = hall
reason = roomSpotted x,y,z = 10115,12624,1 room = hall
reason = roomSpotted x,y,z = 10066,12628,1 room = hall
reason = roomSpotted x,y,z = 10062,12648,1 room = hall
reason = roomSpotted x,y,z = 10066,12627,1 room = hall
reason = roomSpotted x,y,z = 10104,12626,1 room = hall
reason = roomSpotted x,y,z = 10061,12646,1 room = hall
reason = roomSpotted x,y,z = 10063,12635,1 room = hall
reason = roomSpotted x,y,z = 10069,12628,1 room = hall
reason = roomSpotted x,y,z = 10063,12646,1 room = hall
reason = roomSpotted x,y,z = 10110,12625,1 room = hall
reason = roomSpotted x,y,z = 10063,12636,1 room = hall
reason = roomSpotted x,y,z = 10061,12621,1 room = hall
reason = roomSpotted x,y,z = 10110,12623,1 room = hall.
[28-11-22 02:00:02.347] reason = roomSpotted x,y,z = 10108,12623,1 room = hall
reason = roomSpotted x,y,z = 10063,12620,1 room = hall
reason = roomSpotted x,y,z = 10062,12620,1 room = hall
reason = roomSpotted x,y,z = 10061,12642,1 room = hall
reason = roomSpotted x,y,z = 10062,12651,1 room = hall
reason = roomSpotted x,y,z = 10106,12624,1 room = hall
reason = roomSpotted x,y,z = 10061,12627,1 room = hall
reason = roomSpotted x,y,z = 10095,12616,2 room = livingroom
reason = roomSpotted x,y,z = 10097,12617,2 room = livingroom
reason = roomSpotted x,y,z = 10093,12621,2 room = livingroom
reason = roomSpotted x,y,z = 10089,12614,2 room = livingroom
reason = roomSpotted x,y,z = 10091,12616,2 room = livingroom
reason = roomSpotted x,y,z = 10089,12615,2 room = livingroom
reason = roomSpotted x,y,z = 10092,12616,2 room = livingroom
reason = roomSpotted x,y,z = 10099,12619,2 room = livingroom
reason = roomSpotted x,y,z = 10061,12648,2 room = hall
reason = roomSpotted x,y,z = 10070,12627,2 room = hall
reason = roomSpotted x,y,z = 10103,12626,2 room = hall.
[28-11-22 02:00:02.348] reason = roomSpotted x,y,z = 10119,12625,2 room = hall
reason = roomSpotted x,y,z = 10061,12622,2 room = hall
reason = roomSpotted x,y,z = 10062,12645,2 room = hall
reason = roomSpotted x,y,z = 10061,12632,2 room = hall
reason = roomSpotted x,y,z = 10062,12651,2 room = hall
reason = roomSpotted x,y,z = 10109,12623,2 room = hall
reason = roomSpotted x,y,z = 10075,12623,2 room = hall
reason = roomSpotted x,y,z = 10077,12627,2 room = hall
reason = roomSpotted x,y,z = 10086,12623,2 room = hall
reason = roomSpotted x,y,z = 10083,12623,2 room = hall
reason = roomSpotted x,y,z = 10095,12624,2 room = hall
reason = roomSpotted x,y,z = 10061,12661,2 room = hall
reason = roomSpotted x,y,z = 10071,12627,2 room = hall
reason = roomSpotted x,y,z = 10061,12654,2 room = hall
reason = roomSpotted x,y,z = 10063,12661,2 room = hall
reason = roomSpotted x,y,z = 10067,12628,2 room = hall
reason = roomSpotted x,y,z = 10064,12627,2 room = hall
reason = roomSpotted x,y,z = 10105,12623,2 room = hall
reason = roomSpotted x,y,z = 10093,12623,2 room = hall.
[28-11-22 02:00:02.350] reason = roomSpotted x,y,z = 10061,12627,2 room = hall
reason = roomSpotted x,y,z = 10063,12632,2 room = hall
reason = roomSpotted x,y,z = 10062,12654,2 room = hall
reason = roomSpotted x,y,z = 10086,12625,2 room = hall
reason = roomSpotted x,y,z = 10062,12626,2 room = hall
reason = roomSpotted x,y,z = 10063,12645,2 room = hall
reason = roomSpotted x,y,z = 10116,12624,2 room = hall
reason = roomSpotted x,y,z = 10074,12625,2 room = hall
reason = roomSpotted x,y,z = 10093,12615,3 room = livingroom
reason = roomSpotted x,y,z = 10097,12616,3 room = livingroom
reason = roomSpotted x,y,z = 10094,12617,3 room = livingroom
reason = roomSpotted x,y,z = 10090,12617,3 room = bathroom
reason = roomSpotted x,y,z = 10091,12615,3 room = livingroom
reason = roomSpotted x,y,z = 10089,12615,3 room = livingroom
reason = roomSpotted x,y,z = 10092,12616,3 room = livingroom
reason = roomSpotted x,y,z = 10091,12613,3 room = livingroom
reason = roomSpotted x,y,z = 10090,12613,3 room = livingroom
reason = roomSpotted x,y,z = 10101,12615,3 room = livingroom.
[28-11-22 02:00:02.355] reason = roomSpotted x,y,z = 10100,12614,3 room = livingroom
reason = roomSpotted x,y,z = 10099,12613,3 room = livingroom
reason = roomSpotted x,y,z = 10099,12614,3 room = livingroom
reason = roomSpotted x,y,z = 10092,12619,3 room = livingroom
reason = roomSpotted x,y,z = 10090,12620,3 room = livingroom
reason = roomSpotted x,y,z = 10062,12653,3 room = hall
reason = roomSpotted x,y,z = 10105,12623,3 room = hall
reason = roomSpotted x,y,z = 10061,12643,3 room = hall
reason = roomSpotted x,y,z = 10111,12624,3 room = hall
reason = roomSpotted x,y,z = 10062,12647,3 room = hall
